"heatRank","token","originalHotRank","heatScore","sentimentScore","sentimentLabel","priceChangePct","quoteVolume","searchCount","topTraderBuyPct","holderBuyPct","takerBuySellRatio","globalLongShortRatio","fundingRate","flags"
"1","BOME","2","79.5","79.5","偏多","9.151","21862663.3","1911","100","100","0.687","1","0.00005",""
"2","PNUT","1","74.2","80.9","偏多","5.78","4899766.58","404","100","100","1.136","1.034","0.00005",""
"3","MET","4","66.8","57.2","中性","7.041","7230345","734","96","50","0.216","0.731","0.00005",""
"4","PENGU","6","64.8","79.3","偏多","7.352","46270571.57","1817","100","100","0.799","0.791","0.00005",""
"5","ORCA","3","63.5","21.4","偏空","2.066","3385888.18","337","0","0","0.529","0.981","0.00005",""
"6","NEIRO","5","61","25.2","偏空","5.485","5388853.49","544","0","1","0.581","1.107","0.00003395","价格上涨但头部交易者偏卖"
"7","SOL","","51.4","67.5","偏多","3.418","1834813741.33","10873","67","89","1.24","2.036","0.00000893",""
"8","SYN","","50.8","43.6","中性","4.851","379895926.62","14634","44","8","0.967","0.646","0.00000424","价格上涨但头部交易者偏卖"
"9","BLUR","7","48.8","30.3","偏空","2.511","1890793.14","295","0","50","0.444","1.413","0.00005","账户偏多但主动卖盘占优"
"10","NMR","8","44.3","41.7","中性","3.919","857605.22","197","50","50","0.251","1.368","0.00005","账户偏多但主动卖盘占优"
"11","RLUSD","9","42.9","74.4","偏多","0.01","101515392.2","178","98","100","","","",""
"12","GALA","","41","74.5","偏多","3.545","8225581.69","1095","100","100","0.663","1.295","0.0001","账户偏多但主动卖盘占优"
"13","SNDKB","","38.3","43.1","中性","-0.368","19378093.14","712","28","50","","","",""
"14","POWR","","38.2","79.8","偏多","1.4","5897231.38","834","100","100","1.55","1.281","-0.00057676",""
"15","ZEC","","37.3","62.6","中性","16.569","4290320215.35","0","50","50","1.009","0.392","-0.00023998","负资金费率下价格与主动买盘走强，存在逼空特征"
"16","ONE","","36.2","61.1","中性","61.621","171335219.65","0","50","50","0.841","1.325","0.00005","账户偏多但主动卖盘占优"
"17","1000SATS","","35.4","69","偏多","2.843","1466138.35","375","100","100","0.368","2.894","0.00005","账户偏多但主动卖盘占优"
"18","AVA","","35.3","62.9","中性","52.177","77910866.12","0","50","50","1.05","1.224","-0.00788935","负资金费率下价格与主动买盘走强，存在逼空特征"
"19","HIVE","","35","63","中性","-0.176","4479817.74","425","100","100","0.24","1.019","-0.00030012",""
"20","FTT","10","33.7","51.6","中性","1.881","126870.88","208","50","50","","","",""
"21","GENIUS","","31.9","38.8","中性","1.525","1047991.66","177","50","50","0.08","1.305","0.00005","账户偏多但主动卖盘占优"
"22","SAPIEN","","31","57.2","中性","1.857","621439.38","149","50","50","1.976","2.17","0.00005",""
"23","ARB","","27","54.5","中性","6.677","354703703.68","0","50","50","0.882","1.635","-0.00002411",""
"24","LSK","","26.9","47.7","中性","-4.663","1233702680.34","0","50","50","1.208","1.401","-0.00279738",""
"25","ETH","","26.6","52.8","中性","2.126","10816643174.58","0","50","50","1.134","2.995","0.00003403",""
"26","BTC","","25.9","49.3","中性","1.163","12121257827.53","0","50","50","0.822","1.487","0.00003271","账户偏多但主动卖盘占优"
"27","DOT","","25.4","49.4","中性","6.943","68975871.99","0","50","50","0.466","2.061","0.0001","账户偏多但主动卖盘占优"
"28","MRNAB","","25.1","52.7","中性","3.264","97681.52","27","50","50","","","",""
"29","XRP","","24.4","47.5","中性","1.264","1307193635.24","0","50","50","0.65","2.531","0.00000882","账户偏多但主动卖盘占优"
"30","PEPE","","24.2","43.1","中性","3.93","183539465.33","0","50","50","0.296","1.66","0.0001","账户偏多但主动卖盘占优"
"31","BNB","","23.8","50.8","中性","2.527","325818188.47","0","50","50","0.857","2.546","0.00007612",""
