"rank","id","nickname","eligible","compositeScore","roi","mdd","sharpRatio","copierPnl","currentCopyCount","tenureDays","orders","completeCycles","incompleteCycles","coverageDays","medianHoldSeconds","under60sRatio","under5mRatio","rapidReopenRatio","reversalRatio","repeatedQuantityRatio","dailyTurnoverToEquity","cycleWinRate","profitFactor","top1ProfitConcentration","washRiskScore","riskLevel","confidence"
"1","4886996900008285697","加油加油再加油","false","88.7","13.6667","0","3.02210954","6637.6694","24","236","0","0","0","0","","","","","","","","","","","0","low","0"
"2","5080014986897740289","青云执策","true","81.4","81.5936","10.1009","5.1059385","430780.236","400","102.8","377","70","1","58.173","49992.8","0.0143","0.0143","0","0","0.1293","8.958","0.6","3.998","0.0863","10","low","1"
"3","5116343973122243585","Galaxy Bot 6","true","80.9","87.0018","6.1183","7.55539358","8229.3168","166","77.7","1409","120","4","59.53","457.5","0.2333","0.4667","0.1261","0","0.341","1.91","0.8667","7.859","0.1348","37.7","medium","1"
"4","5074084420726024192","User-66301","false","80.4","35.7589","0","3.84390488","223.3844","23","106.9","0","0","0","0","","","","","","","","","","","0","low","0"
"5","5126298543040831233","Bran Brandon","false","80.1","226.3568","20.2661","4.49594656","68176.629","500","70.9","39","5","2","31.439","142531.2","0","0.2","0","0","0.125","9.539","1","999","0.4416","14.2","low","0.415"
"6","5076854789130646529","Leo-Hamsters","false","79.3","23.0792","2.894","6.72912047","1886.6453","41","105","360","4","1","58.406","257250.8","0.25","0.25","0.6667","0","0.0448","0.585","1","999","0.7092","36.7","medium","0.402"
"7","5176738977864057344","Falcon-Hamsters","true","78.7","42.5919","1.5076","13.47270098","2464.0165","19","36.1","3222","1046","11","35.993","3756","0.0535","0.0784","0.0115","0","0.0182","4.084","0.738","2.584","0.0293","9.1","low","1"
"8","4287847543651684864","星火研究院-大象","true","78.5","61.6226","11.2994","1.09718308","2454.3648","500","649.3","770","75","7","55.888","13653.2","0","0","0.0135","0","0.4444","1.191","0.9867","3.579","0.3652","8.9","low","1"
"9","5139859220682929920","Desperados1905","true","78.5","24.996","0","3.63322486","251.1098","16","61.5","426","170","1","59.901","4268.2","0.0059","0.0529","0.0059","0","0.0426","1.061","0.9412","12.167","0.1461","3.5","low","1"
"10","5163855802101492736","Smart2X","true","77.6","22.9924","7.393","4.00258856","61754.8614","17","45","1025","205","6","44.421","20076","0.0293","0.0976","0.0049","0","0.1223","1.055","0.7902","3.843","0.058","7.2","low","1"
"11","5167142418360791041","青岛啤酒","true","76","217.3014","25.1929","4.22171036","67239.7565","98","42.7","362","65","2","42.65","28524.4","0.0462","0.0769","0.0156","0","0","8.408","0.6154","2.659","0.1397","11.8","low","1"
"12","5095471773900927232","允哲bit","true","76","47.7813","0","1.96569247","738.3128","1","92.1","522","202","2","57.065","8199","0.005","0.0297","0.0199","0.01","0.1842","4.994","0.6683","1.892","0.0989","9.6","low","1"
